ngram,freq_fg,relfreq_fg,freq_bg,relfreq_bg,phrase,inform,score
tapos chinese,1,5.263157895,0,0.000801498,0.435323362,0.462618889,0.897942252
pilipinas ncov,1,9.090909091,1,1.429259466,0.72913605,0.168192587,0.897328637
sakit lalamunan,1,4.545454545,0,0.000751337,0.501020881,0.395808393,0.896829274
sakit t1,1,4.545454545,0,0.000751337,0.501020881,0.395808393,0.896829274
sakit ayun,1,4.545454545,0,0.000751337,0.501020881,0.395808393,0.896829274
china another,1,4.545454545,0,0.000549303,0.482590648,0.410044936,0.892635584
stay sun,1,4.166666667,0,0.000225004,0.480899325,0.409437885,0.89033721
outbreak ncov,1,8.333333333,1,0.517824313,0.653872816,0.2315319,0.885404716
china period,1,4.545454545,0,0.000549303,0.46951419,0.410044936,0.879559127
sakit makakaiwas,1,4.545454545,0,0.000751337,0.482590648,0.395808393,0.878399042
like alcohol,1,5.263157895,0,0.000697605,0.408437803,0.469925714,0.878363517
us covid,1,8.333333333,1,0.446196895,0.630548833,0.243938208,0.87448704
hospital positive,1,7.142857143,1,1.200739777,0.74445373,0.127369643,0.871823374
nga alcohol,1,5.263157895,0,0.00079011,0.408437803,0.463372054,0.871809857
china kumain,1,4.545454545,0,0.000549303,0.459371302,0.410044936,0.869416238
sakit happy,1,4.545454545,0,0.000751337,0.46951419,0.395808393,0.865322584
china year,1,4.545454545,0,0.000549303,0.451083958,0.410044936,0.861128894
city philippines,1,8.333333333,8,6.639187274,0.841222068,0.018939498,0.860161566
buying alcohol,1,9.090909091,1,5.000866927,0.804855061,0.054333057,0.859188118
china epidemic,1,4.545454545,0,0.000549303,0.444077109,0.410044936,0.854122045
please share,1,6.666666667,4,2.653538919,0.785896258,0.061415053,0.847311311
sakit nya,1,4.545454545,0,0.000751337,0.451083958,0.395808393,0.846892352
stay hydrated,1,4.166666667,0,0.000225004,0.435123813,0.409437885,0.844561698
masks absence,1,4.166666667,0,0.000788115,0.480899325,0.357207609,0.838106934
masks thingy,1,4.166666667,0,0.000788115,0.480899325,0.357207609,0.838106934
masks napilitan,1,4.166666667,0,0.000788115,0.480899325,0.357207609,0.838106934
masks items,1,4.166666667,0,0.000788115,0.480899325,0.357207609,0.838106934
masks hassle,1,4.166666667,0,0.000788115,0.480899325,0.357207609,0.838106934
home natin,1,7.142857143,1,0.900667534,0.687417466,0.147909424,0.835326891
china pilipinas,1,4.545454545,0,0.000549303,0.423532331,0.410044936,0.833577267
natin alcohol,1,5,0,0.000663387,0.382886583,0.446379465,0.829266049
nga ncov,1,5.263157895,0,0.00079011,0.364600481,0.463372054,0.827972534
alam nyo,1,7.692307692,2,3.455191709,0.764198415,0.061564837,0.825763253
philippines imagine,1,5.882352941,1,0.327833865,0.654861911,0.169835597,0.824697508
home stay,1,7.142857143,1,0.900667534,0.674394498,0.147909424,0.822303922
cases ncov,2,10,33,5.038616741,0.751796973,0.06854535,0.820342323
sakit pilipinas,1,4.545454545,0,0.000751337,0.423532331,0.395808393,0.819340724
sakit airborne,1,4.545454545,0,0.000751337,0.423532331,0.395808393,0.819340724
please everyone,1,6.666666667,1,0.612722592,0.656168915,0.159130865,0.81529978
alam niyo,1,7.692307692,3,5.273373527,0.784834107,0.029042349,0.813876455
alam natin,1,7.692307692,2,3.455191709,0.751696959,0.061564837,0.813261797
home prevent,1,7.142857143,2,1.900667534,0.718187674,0.094564836,0.81275251
sakit niyo,1,4.545454545,0,0.000751337,0.415938963,0.395808393,0.811747357
case ncov,1,10,23,11.393423,0.821111691,-0.013045117,0.808066574
quarantine facility,1,5.882352941,1,0.698339734,0.678712799,0.125353318,0.804066118
niyo kasi,1,7.692307692,2,3.334048168,0.731515093,0.064310277,0.795825369
stay hygiene,1,4.166666667,0,0.000225004,0.384958279,0.409437885,0.794396164
masks hope,1,4.166666667,0,0.000788115,0.435123813,0.357207609,0.792331422
masks stock,1,4.166666667,0,0.000788115,0.435123813,0.357207609,0.792331422
sakit sakit,1,4.545454545,0,0.000751337,0.392025641,0.395808393,0.787834034
